PRCP,TAVG,TMAX,TMIN,TOBS
0.11333333333333333,,58.75,37.625,46.0
0.0,,50.375,31.625,38.0
0.0,,57.57142857142857,32.285714285714285,50.0
0.1918181818181818,,64.85714285714286,45.42857142857143,64.0
0.16363636363636364,,67.85714285714286,46.42857142857143,52.0
0.023333333333333334,,59.5,35.25,44.0
0.025833333333333333,,63.375,35.5,49.0
0.0,,57.0,39.125,55.0
0.45083333333333325,,47.25,33.875,43.0
0.04083333333333333,,37.375,31.5,40.0
0.022500000000000003,,41.75,26.875,33.0
0.0,,39.75,22.25,37.0
0.02,,32.5,25.625,39.0
0.09583333333333333,,44.375,29.625,49.0
0.012499999999999997,,53.625,38.0,57.0
0.3558333333333333,,52.375,43.125,56.0
0.11,,51.125,39.75,49.0
0.036666666666666674,,55.0,37.5,45.0
0.0033333333333333335,,56.75,34.25,53.0
0.02,,58.25,31.375,36.0
0.041666666666666664,,44.5,29.25,33.0
0.0,,54.125,26.875,36.0
0.07916666666666668,,57.875,32.375,54.0
0.7841666666666667,,49.875,44.125,50.0
0.09666666666666668,,54.625,37.25,44.0
0.0425,,55.0,32.125,41.0
0.0033333333333333335,,61.375,34.25,46.0
0.0,,65.125,36.25,51.0
0.0,,66.0,42.375,63.0
0.0375,,64.5,46.875,57.0
0.010833333333333334,,64.0,44.75,61.0
0.24250000000000002,,60.375,24.5,25.0
0.15666666666666665,,35.0,20.125,31.0
0.015,,33.0,25.571428571428573,30.0
0.020833333333333332,,33.125,22.25,23.0
0.053636363636363635,,56.0,22.571428571428573,45.0
0.0,,67.14285714285714,32.142857142857146,55.0
0.0,,51.75,31.25,35.0
0.0,,48.5,27.5,49.0
0.1475,,44.25,23.125,27.0
0.08666666666666667,,39.25,22.25,27.0
0.0,,50.625,21.0,34.0
0.0,,57.25,26.0,39.0
0.0,,63.375,30.25,53.0
0.029166666666666664,,68.0,41.125,58.0
0.0016666666666666668,,67.25,47.0,57.0
0.0,,65.125,46.5,60.0
0.0,,67.375,50.75,63.0
0.0025,,69.14285714285714,48.714285714285715,58.0
0.0033333333333333335,,67.625,48.375,62.0
0.0,,67.0,53.375,64.0
0.031818181818181815,,77.42857142857143,61.42857142857143,65.0
0.03333333333333333,,68.125,49.375,66.0
0.0008333333333333334,,67.875,50.875,67.0
0.035454545454545454,,75.0,61.857142857142854,69.0
0.2081818181818182,,73.0,49.714285714285715,55.0
0.0025,,65.5,44.875,65.0
0.0,,68.625,55.625,70.0
0.18833333333333332,,66.75,44.875,56.0
0.011666666666666665,,64.75,38.0,50.0
0.035833333333333335,,65.375,35.375,48.0
0.006666666666666667,,65.5,38.625,61.0
0.0,,69.625,52.625,65.0
0.43416666666666665,,61.875,43.625,49.0
0.006363636363636364,,64.71428571428571,38.857142857142854,48.0
0.009166666666666667,,61.75,37.875,63.0
0.02666666666666666,,66.0,53.25,68.0
0.19833333333333336,,65.375,43.875,53.0
0.0025,,62.75,37.875,45.0
0.0,,65.5,35.375,56.0
0.0,,72.0,47.5,61.0
0.0,,71.5,51.75,66.0
0.5924999999999999,,65.375,48.25,51.0
0.11166666666666665,,64.0,42.875,53.0
0.0016666666666666668,,67.25,48.125,65.0
0.0,,74.25,55.125,66.0
0.0,,76.625,57.25,65.0
0.0,,73.75,57.125,68.0
0.0375,,73.125,57.125,65.0
0.0008333333333333334,,74.75,57.125,67.0
0.0,,76.375,59.75,69.0
0.0,,73.33333333333333,55.0,47.0
0.0,,71.77777777777777,51.333333333333336,42.0
0.02,,69.44444444444444,52.22222222222222,46.0
0.06333333333333334,,74.875,59.5,72.0
0.15666666666666668,,74.25,57.125,66.0
0.005,,64.875,51.75,70.0
0.01076923076923077,,66.22222222222223,49.666666666666664,48.0
0.12307692307692308,,61.22222222222222,47.44444444444444,42.0
0.0923076923076923,,67.44444444444444,41.77777777777778,43.5
0.006153846153846154,,72.44444444444444,46.333333333333336,44.0
0.0,,75.875,58.25,68.0
0.0018181818181818182,,77.71428571428571,63.285714285714285,74.0
0.008333333333333333,,79.5,51.0,44.0
0.028333333333333335,,68.625,40.125,44.5
0.125,,71.75,41.875,46.0
0.15384615384615385,,74.55555555555556,53.111111111111114,53.0
0.23384615384615384,,76.33333333333333,58.22222222222222,53.5
0.005833333333333334,,80.75,63.0,72.0
0.016666666666666666,,79.875,64.375,74.0
0.10307692307692308,,78.22222222222223,54.44444444444444,42.5
0.10153846153846152,,73.22222222222223,45.55555555555556,39.0
0.023846153846153847,,73.33333333333333,43.77777777777778,47.5
0.0,,73.77777777777777,57.44444444444444,52.0
0.2961538461538461,,75.55555555555556,52.44444444444444,45.5
0.006666666666666667,,77.125,44.625,52.0
0.0033333333333333335,,73.25,44.0,72.0
0.0,,77.0,58.333333333333336,51.0
0.05,,78.25,58.5,52.0
0.09857142857142857,,79.0,60.0,51.5
0.0,,74.88888888888889,59.111111111111114,56.0
0.1907142857142857,,78.0,60.22222222222222,58.5
0.3692307692307692,,82.375,65.625,75.0
0.5115384615384616,,80.125,64.375,76.0
0.4692857142857143,,77.77777777777777,62.77777777777778,60.5
0.43857142857142856,,74.55555555555556,64.55555555555556,58.0
0.19642857142857142,,80.22222222222223,57.55555555555556,54.0
0.2735714285714286,,72.55555555555556,48.333333333333336,45.0
0.004285714285714286,,74.33333333333333,45.666666666666664,57.0
0.0007692307692307692,,80.875,63.0,77.0
0.004615384615384615,,80.875,63.875,75.0
0.33714285714285713,,73.77777777777777,50.666666666666664,47.5
0.1176923076923077,,69.75,50.625,61.0
0.019285714285714288,,69.66666666666667,44.22222222222222,46.5
